A0A075B6S6	('T96060009133', 0)
A1L020	('T96060010194', 63)
A1L167	('T96060018699', 64)
A1L188	('T96060011082', 65)
A1L1I3	('T101160004907', 66)
A1L1W4	('T79550002157', 67)
A1L224	('T79550000539', 68)
A1L259	('T79550002957', 69)
A1L2F3	('T79550001849', 70)
A1L314	('T100900009018', 71)
A1L3X0	('T96060005231', 72)
A1L4H1	('T96060016535', 73)
A1L4X0	('T37020002755', 74)
A1XQU5	('T98230001107', 75)
A1XQU9	('T98230001148', 76)
A1XQX0	('T79550001804', 77)
A1Y9I9	('T100900015422', 78)
A1YB07	('T79550000085', 79)
A1YKT1	('T37020013914', 80)
A1Z1Q3	('T96060009836', 81)
A1Z6L1	('T72270003211', 82)
A1Z7A6	('T72270000174', 83)
A1Z7A8	('T72270000516', 84)
A1Z7G7	('T72270001673', 85)
A1Z7Z9	('T72270000545', 86)
A1Z8D0	('T72270002492', 87)
A1Z8P9	('T72270003243', 88)
A1Z9E2	('T72270001651', 89)
A1Z9G2	('T72270003052', 90)
A1Z9S1	('T72270000268', 91)
A1ZAU8	('T72270002482', 92)
A1ZAX0	('T72270000413', 93)
A1ZAY1	('T72270000774', 94)
A1ZB86	('T72270001576', 95)
A1ZBT5	('T72270001773', 96)
A2A259	('T100900011011', 97)
A2A288	('T96060019708', 98)
A2A3K4	('T96060013856', 99)
A2A432	('T100900003437', 100)
A2A690	('T100900014613', 101)
A2A7Q9	('T100900012463', 102)
A2A863	('T100900007156', 103)
A2A870	('T100900004951', 104)
A2A891	('T100900002841', 105)
A2A8L5	('T100900011677', 106)
A2A8U2	('T100900015158', 107)
A2A935	('T100900011410', 108)
A2A9A2	('T100900003967', 109)
A2A9F4	('T100900007488', 110)
A2A9I7	('T100900003964', 111)
A2AAJ9	('T100900010140', 112)
A2AAY5	('T100900013941', 113)
A2ABU4	('T100900009333', 114)
A2ACG1	('T100900015066', 115)
A2AGA4	('T100900012197', 116)
A2AGL3	('T100900012808', 117)
A2AH22	('T100900000631', 118)
A2AHL1	('T100900000706', 119)
A2AI08	('T100900015496', 120)
A2AIV8	('T100900001858', 121)
A2AJ15	('T100900008414', 122)
A2AJK6	('T100900002552', 123)
A2AJX4	('T100900008467', 124)
A2ALU4	('T100900013469', 125)
A2AN08	('T100900016049', 126)
A2AP18	('T100900011090', 127)
A2APX8	('T100900013174', 128)
A2AQ07	('T100900014645', 129)
A2AQ14	('T100900009104', 130)
A2AQ19	('T100900012744', 131)
A2AQ25	('T100900013581', 132)
A2ARP9	('T100900003414', 133)
A2ARV4	('T100900008222', 134)
A2ATD1	('T100900007129', 135)
A2ATU0	('T100900003856', 136)
A2AU37	('T100900012036', 137)
A2AVJ5	('T100900011498', 138)
A2AWL7	('T100900008781', 139)
A2AX52	('T100900002940', 140)
A2BE76	('T79550000516', 141)
A2BGA0	('T79550002178', 142)
A2BGG1	('T79550001653', 143)
A2BGM5	('T79550000939', 144)
A2BH40	('T100900000933', 145)
A2BID5	('T79550001538', 146)
A2CEH0	('T79550002031', 147)
A2CEI6	('T79550001996', 148)
A2CG49	('T100900007329', 149)
A2CG63	('T100900000941', 150)
A2NJV5	('T96060009111', 151)
A2RRH5	('T96060019259', 152)
A2RRP1	('T96060010948', 153)
A2RRU4	('T101160006426', 154)
A2RT67	('T100900003747', 155)
A2RTX5	('T96060016940', 156)
A2RU14	('T96060017767', 157)
A2RU48	('T96060016088', 158)
A2RU49	('T96060007791', 159)
A2RUB6	('T96060002447', 160)
A2RUH7	('T96060010011', 161)
A2RUS2	('T96060004488', 162)
A2RVJ8	('T37020006660', 163)
A2RVK7	('T37020012310', 164)
A2SWM2	('T79550002559', 165)
A2SZW8	('T45770000555', 166)
A2VCK2	('T96060004356', 167)
A2VCW5	('T101160006336', 168)
A2VCZ5	('T79550001502', 169)
A2VD13	('T101160005696', 170)
A2VDF0	('T96060006315', 171)
A2VDJ0	('T96060016974', 172)
A3KFT3	('T96060012063', 173)
A3KG59	('T100900010394', 174)
A3KGF7	('T100900011077', 175)
A3KGV1	('T100900010162', 176)
A3KMN5	('T100900007889', 177)
A3KNA7	('T79550002577', 178)
A3KNI7	('T79550000346', 179)
A3KPE8	('T37020012934', 180)
A3KPF2	('T37020000794', 181)
A3KPP3	('T79550001603', 182)
A3KQH2	('T79550000720', 183)
A3QJU3	('T79550000508', 184)
A3QMC6	('T62390000879', 185)
A3RK75	('T79550000951', 186)
A4D0V7	('T96060003730', 187)
A4D126	('T96060008315', 188)
A4D998	('T37020001661', 189)
A4F267	('T101160007345', 190)
A4FU49	('T96060015807', 191)
A4FVR1	('T37020006007', 192)
A4GNA8	('T37020011157', 193)
A4GSN8	('T37020009153', 194)
A4GTP4	('T101160002236', 195)
A4GXA9	('T96060005259', 196)
A4IFW2	('T79550002090', 197)
A4IG62	('T79550002619', 198)
A4L7N3	('T98230000470', 199)
A4Q9E8	('T100900015813', 200)
A4Q9F0	('T100900015814', 201)
A4Q9F4	('T100900015805', 202)
A4UGR9	('T96060019398', 203)
A4VCL2	('T72270001002', 204)
A4VCM0	('T37020008669', 205)
A5A627	('T833330002863', 206)
A5D8V7	('T96060002358', 207)
A5GFW1	('T98230000147', 208)
A5GZW8	('T98230000378', 209)
A5HAK0	('T79550002256', 210)
A5HEI1	('T37020012792', 211)
A5JYW9	('T62390002711', 212)
A5PF48	('T79550001690', 213)
A5PKW4	('T96060013750', 214)
A5PLC8	('T79550002088', 215)
A5PLN9	('T96060018074', 216)
A5PMY6	('T79550000499', 217)
A5PN09	('T79550002926', 218)
A5PN28	('T79550001895', 219)
A5WWC6	('T79550001134', 220)
A6H584	('T100900002941', 221)
A6H5Y3	('T100900008732', 222)
A6H639	('T100900004118', 223)
A6H687	('T100900013031', 224)
A6H8Y1	('T96060001630', 225)
A6JFQ6	('T101160001425', 226)
A6MHQ4	('T72270002009', 227)
A6N6J5	('T101160007890', 228)
A6NAF9	('T79550002846', 229)
A6NCC3	('T96060006872', 230)
A6NCE7	('T96060010485', 231)
A6ND36	('T96060005809', 232)
A6ND48	('T96060011777', 233)
A6NDB9	('T96060012494', 234)
A6NDG6	('T96060012916', 235)
A6NDL8	('T96060011881', 236)
A6NDP7	('T96060009844', 237)
A6NF83	('T96060011679', 238)
A6NFA1	('T96060017587', 239)
A6NFH5	('T96060005912', 240)
A6NFX1	('T96060010223', 241)
A6NGB9	('T96060019332', 242)
A6NGG8	('T96060012602', 243)
A6NGY5	('T96060011817', 244)
A6NHA9	('T96060011803', 245)
A6NHG9	('T96060011878', 246)
A6NHN6	('T96060011420', 247)
A6NHX0	('T96060002196', 248)
A6NI73	('T96060009400', 249)
A6NIJ9	('T96060011882', 250)
A6NIM6	('T96060015161', 251)
A6NJ46	('T96060011294', 252)
A6NJ78	('T96060010170', 253)
A6NJB7	('T96060013660', 254)
A6NK59	('T96060001217', 255)
A6NKF1	('T96060015374', 256)
A6NKK0	('T96060012146', 257)
A6NKQ9	('T96060002961', 258)
A6NL26	('T96060012138', 259)
A6NLJ0	('T96060001929', 260)
A6NM03	('T96060011786', 261)
A6NMB1	('T96060015910', 262)
A6NMZ7	('T96060003508', 263)
A6NND4	('T96060011790', 264)
A6NNM8	('T96060018479', 265)
A6PVC2	('T96060018487', 266)
A6PVS8	('T96060009581', 267)
A6PWV3	('T100900007192', 268)
A6QRA1	('T37020009093', 269)
A6X8Z5	('T100900012231', 270)
A6X8Z9	('T100900014874', 271)
A6X980	('T2848120003015', 272)
A6X982	('T2848120004997', 273)
A6YP92	('T101160000575', 274)
A7E2U8	('T96060002577', 275)
A7E3N2	('T101160004578', 276)
A7L9Z8	('T100900001126', 277)
A7LCJ3	('T98230001234', 278)
A7LN87	('T45770000494', 279)
A7MBM2	('T96060004611', 280)
A7MD48	('T96060016568', 281)
A7UA95	('T79550002124', 282)
A7VJC2	('T101160006130', 283)
A7WLH8	('T98230001279', 284)
A7XDQ9	('T37020001405', 285)
A7XGN8	('T37020007651', 286)
A7XN92	('T45770000102', 287)
A7XYQ1	('T96060016244', 288)
A7Y7X5	('T79550003102', 289)
A7YE96	('T79550002872', 290)
A8C984	('T79550001686', 291)
A8DYE2	('T72270003269', 292)
A8DYH2	('T72270003368', 293)
A8DZE6	('T79550003044', 294)
A8DZH4	('T79550003051', 295)
A8E7G5	('T79550002457', 296)
A8E7I5	('T79550002879', 297)
A8JNV4	('T72270000270', 298)
A8JUV0	('T72270002771', 299)
A8K7I4	('T96060003262', 300)
A8K8V0	('T96060020251', 301)
A8MPH9	('T72270001064', 302)
A8MQ27	('T96060011154', 303)
A8MQY1	('T37020008685', 304)
A8MRC7	('T37020001387', 305)
A8MRX0	('T37020006285', 306)
A8MS41	('T37020002336', 307)
A8MS68	('T37020010195', 308)
A8MS85	('T37020013381', 309)
A8MSA6	('T37020004534', 310)
A8MT33	('T96060016857', 311)
A8MVA2	('T96060009045', 312)
A8MX34	('T96060009001', 313)
A8MXD5	('T96060007054', 314)
A8MYZ6	('T96060006235', 315)
A8R0V4	('T100900004630', 316)
A8WCF8	('T101160007454', 317)
A8WFJ9	('T62390000890', 318)
A8WHR3	('T79550003063', 319)
A9CMA6	('T101160007311', 320)
A9QM74	('T96060008122', 321)
A9ULR9	('T79550000200', 322)
A9X4U2	('T37020006770', 323)
A9YTQ3	('T96060000604', 324)
B0BNK7	('T101160003987', 325)
B0F2B4	('T100900009748', 326)
B0F9L4	('T37020006159', 327)
B0G0Y8	('T446890002082', 328)
B0G140	('T446890000272', 329)
B0K019	('T101160000729', 330)
B0KZ40	('T45770000540', 331)
B0M0P5	('T446890000730', 332)
B0M1H3	('T37020015873', 333)
B0R0I6	('T79550000418', 334)
B0S733	('T79550002165', 335)
B0UYF2	('T79550002378', 336)
B0UZC8	('T79550003003', 337)
B0YJ81	('T96060007278', 338)
B1AQ75	('T100900007747', 339)
B1AQJ2	('T100900016020', 340)
B1AQL3	('T100900015185', 341)
B1ARD8	('T100900013607', 342)
B1AXD8	('T100900000527', 343)
B1AXP6	('T100900015418', 344)
B1AY10	('T100900009657', 345)
B1AZ99	('T100900010362', 346)
B1AZI6	('T100900014973', 347)
B1B212	('T100900006149', 348)
B1B213	('T100900006150', 349)
B1H234	('T101160002552', 350)
B1H267	('T101160006711', 351)
B1PRL5	('T101160001030', 352)
B1Q006	('T79550001484', 353)
B1Q236	('T62390003023', 354)
B1Q257	('T62390001051', 355)
B1WBP0	('T101160004377', 356)
B1WC68	('T101160003118', 357)
B2C4D0	('T45770000733', 358)
B2D6M2	('T62390001565', 359)
B2FDA8	('T62390002738', 360)
B2GUV7	('T101160003332', 361)
B2GV24	('T101160007719', 362)
B2GV38	('T101160007666', 363)
B2GV50	('T101160005936', 364)
B2RBV5	('T96060010571', 365)
B2RPY5	('T100900005821', 366)
B2RQE8	('T100900012238', 367)
B2RQL2	('T100900014262', 368)
B2RR83	('T100900016636', 369)
B2RRD7	('T100900001573', 370)
B2RRE7	('T100900010363', 371)
B2RSH2	('T100900005749', 372)
B2RTY4	('T96060010820', 373)
B2RUJ5	('T100900000809', 374)
B2RUP2	('T100900016126', 375)
B2RUR8	('T100900010358', 376)
B2RUY7	('T96060019213', 377)
B2RWJ3	('T100900015190', 378)
B2RWS6	('T100900004521', 379)
B2RWW0	('T100900014603', 380)
B2RX12	('T100900009091', 381)
B2RX88	('T100900003335', 382)
B2RXS4	('T100900011170', 383)
B2RXZ1	('T100900011191', 384)
B2RY04	('T100900004029', 385)
B2RYN2	('T101160002465', 386)
B3DH20	('T79550002742', 387)
B3DHU2	('T79550002815', 388)
B3DIV9	('T79550001325', 389)
B3DJT0	('T79550002392', 390)
B3DK56	('T79550002091', 391)
B3EY83	('T101160003855', 392)
B3GS44	('T37020007695', 393)
B3GSH5	('T101160000598', 394)
B3H4X8	('T37020013903', 395)
B3H5K9	('T37020008852', 396)
B3H754	('T37020000882', 397)
B3LF48	('T37020004328', 398)
B3LF83	('T37020015737', 399)
B3LFA4	('T37020013695', 400)
B4F7C5	('T101160004006', 401)
B4F7E7	('T101160004372', 402)
B4F8I5	('T45770000129', 403)
B4F9A4	('T45770000190', 404)
B4FG96	('T45770000343', 405)
B4FIJ0	('T45770000686', 406)
B4FK49	('T45770000402', 407)
B4FZ81	('T45770000541', 408)
B5BT18	('T37020001862', 409)
B5D5N9	('T101160001735', 410)
B5DEL3	('T101160007585', 411)
B5DF27	('T101160003947', 412)
B5DF89	('T101160001748', 413)
B5DFC9	('T101160004703', 414)
B5DFN2	('T101160006378', 415)
B5KM66	('T100900014377', 416)
B5ME19	('T96060005186', 417)
B5MEV3	('T101160006359', 418)
B5TYT3	('T37020003146', 419)
B5X582	('T37020014393', 420)
B6ETT4	('T37020013749', 421)
B6EXY6	('T37020007816', 422)
B6RSP1	('T79550001999', 423)
B6TYV8	('T45770000120', 424)
B6UFC7	('T45770000495', 425)
B6VQ60	('T62390000270', 426)
B6VQA1	('T72270000761', 427)
B7FAS6	('T62390002631', 428)
B7SXM5	('T79550001204', 429)
B7SY83	('T37020011075', 430)
B7TB45	('T72270002962', 431)
B7U179	('T37020000271', 432)
B7YZT2	('T72270001041', 433)
B7Z0W9	('T72270002237', 434)
B7ZAQ6	('T96060006965', 435)
B7ZMP1	('T100900016582', 436)
B7ZWR6	('T37020009241', 437)
B8JI71	('T79550000856', 438)
B8JK39	('T100900007145', 439)
B8JLQ9	('T79550000321', 440)
B8XCH5	('T37020011485', 441)
B8Y6I0	('T45770000493', 442)
B9DFA8	('T37020007023', 443)
B9DFK5	('T37020011815', 444)
B9DFR3	('T37020009565', 445)
B9DFU2	('T37020008003', 446)
B9DGI8	('T37020001904', 447)
B9DGU7	('T37020014227', 448)
B9DHA6	('T37020012111', 449)
B9DHD3	('T37020006656', 450)
B9DHT4	('T37020001015', 451)
B9EHT4	('T100900002786', 452)
B9EJ86	('T100900010317', 453)
B9EJA2	('T100900003421', 454)
B9EJV3	('T100900005946', 455)
B9TSP7	('T37020004660', 456)
C0HK79	('T100900001019', 457)
C0HK80	('T100900001020', 458)
C0HK99	('T72270002773', 459)
C0HKA0	('T72270002678', 460)
C0HKQ7	('T72270000439', 461)
C0HKQ8	('T72270000440', 462)
C0HL12	('T101160000283', 463)
C0HL62	('T72270001636', 464)
C0HL63	('T72270001637', 465)
C0HL66	('T72270001321', 466)
C0HL67	('T72270001322', 467)
C0HLB3	('T62390003398', 468)
C0HLF1	('T446890003113', 469)
C0LGD6	('T37020015343', 470)
C0LGD7	('T37020015369', 471)
C0LGD8	('T37020015384', 472)
C0LGD9	('T37020015385', 473)
C0LGE4	('T37020015278', 474)
C0LGF4	('T37020005341', 475)
C0LGF5	('T37020015314', 476)
C0LGG3	('T37020015649', 477)
C0LGG7	('T37020015339', 478)
C0LGG9	('T37020015666', 479)
C0LGH8	('T37020015354', 480)
C0LGI5	('T37020015371', 481)
C0LGJ1	('T37020015380', 482)
C0LGK4	('T37020015417', 483)
C0LGL4	('T37020015437', 484)
C0LGN2	('T37020015490', 485)
C0LGQ5	('T37020006279', 486)
C0LGQ7	('T37020015578', 487)
C0LGR6	('T37020015583', 488)
C0LGR9	('T37020015585', 489)
C0LGS2	('T37020015592', 490)
C0LGS3	('T37020015594', 491)
C0LGT1	('T37020015640', 492)
C0LGT5	('T37020015647', 493)
C0LGT6	('T37020004317', 494)
C0LGU0	('T37020011016', 495)
C0LGU7	('T37020008139', 496)
C0LGV1	('T37020011726', 497)
C0LGW2	('T37020009580', 498)
C0LGX3	('T37020006781', 499)
C0LLJ0	('T100900006954', 500)
C0LU16	('T37020008154', 501)
C0SUU6	('T37020013510', 502)
C0SVM5	('T37020001493', 503)
C0SVV6	('T37020002255', 504)
C0Z274	('T37020002363', 505)
C0Z361	('T37020002981', 506)
C1P5Z7	('T833330002692', 507)
C3VPR6	('T100900009756', 508)
C5H8J1	('T37020004374', 509)
C6KI89	('T100900003411', 510)
C6KIE6	('T37020015194', 511)
C6KRN1	('T62390002633', 512)
C6Y4A7	('T2848120000842', 513)
C6Y4C9	('T2848120003149', 514)
C6Y4D0	('T2848120000717', 515)
C6Y4D3	('T2848120000782', 516)
C7DZK3	('T79550000542', 517)
C8KI33	('T37020013636', 518)
C8YR32	('T100900008113', 519)
C9JDP6	('T96060003294', 520)
C9JE40	('T96060012573', 521)
C9JG80	('T96060011444', 522)
C9JLW8	('T96060010058', 523)
C9JRZ8	('T96060000630', 524)
D0EL35	('T37020003253', 525)
D0G895	('T100900000211', 526)
D0PV95	('T62390000670', 527)
D0Q0Y7	('T101160001449', 528)
D0VWM8	('T62390003051', 529)
D0VWV4	('T98230000180', 530)
D0Z5N4	('T62390000784', 531)
D1KF50	('T37020013454', 532)
D2CLZ9	('T79550000178', 533)
D2J0Y4	('T100900002653', 534)
D2XV59	('T101160003025', 535)
D3KU66	('T100900001072', 536)
D3W0D1	('T96060008913', 537)
D3YWE6	('T100900008937', 538)
D3YWJ0	('T100900013616', 539)
D3YYM4	('T100900016458', 540)
D3YZI9	('T100900010825', 541)
D3YZU1	('T100900013433', 542)
D3Z291	('T100900001795', 543)
D3Z2R5	('T100900013258', 544)
D3Z3K2	('T100900002635', 545)
D3Z5T1	('T100900002098', 546)
D3Z7P3	('T100900005706', 547)
D3Z8X7	('T101160001219', 548)
D3Z9H7	('T101160004670', 549)
D3Z9R8	('T101160000657', 550)
D3ZAW2	('T101160005364', 551)
D3ZB51	('T101160007604', 552)
D3ZBE5	('T101160004636', 553)
D3ZDK2	('T101160007637', 554)
D3ZDK7	('T101160005288', 555)
D3ZE85	('T101160002599', 556)
D3ZF92	('T101160007401', 557)
D3ZFB6	('T101160005632', 558)
D3ZG83	('T101160004065', 559)
D3ZGB1	('T101160004672', 560)
D3ZHR2	('T101160000094', 561)
D3ZJ47	('T101160004333', 562)
D3ZLH5	('T101160005452', 563)
D3ZML2	('T101160000839', 564)
D3ZNT6	('T101160004085', 565)
D3ZQF4	('T101160002541', 566)
D3ZQG6	('T101160007517', 567)
D3ZSI8	('T101160005335', 568)
D3ZTD8	('T101160006491', 569)
D3ZTT2	('T101160004046', 570)
D3ZUA0	('T101160004430', 571)
D3ZUI5	('T101160001490', 572)
D3ZVP0	('T101160003477', 573)
D3ZYR1	('T101160002484', 574)
D4A055	('T101160000917', 575)
D4A0X3	('T101160003537', 576)
D4A2Z8	('T101160001966', 577)
D4A3U0	('T101160002921', 578)
D4A540	('T101160000680', 579)
D4A693	('T101160000694', 580)
D4A702	('T101160006987', 581)
D4A7P2	('T101160004004', 582)
D4A8G3	('T101160004023', 583)
D4AAZ6	('T101160006044', 584)
D4ABX8	('T101160003988', 585)
D5K228	('T37020012546', 586)
D6RGH6	('T96060010040', 587)
D6VTK4	('T5592920004317', 588)
D6W196	('T5592920000706', 589)
D7SFH9	('T37020007749', 590)
D9N129	('T62390003445', 591)
E0CYR6	('T100900009988', 592)
E1U8D0	('T100900013833', 593)
E2JF22	('T100900010944', 594)
E5FYH1	('T100900015433', 595)
E7EAU8	('T62390001083', 596)
E7EZG2	('T79550001674', 597)
E7F187	('T79550000134', 598)
E7F1H9	('T79550003067', 599)
E7F3F0	('T79550001675', 600)
E7F5E1	('T79550000377', 601)
E7F6T8	('T79550002930', 602)
E7F7X0	('T79550001404', 603)
E7F9L8	('T79550001691', 604)
E7FAM5	('T79550001390', 605)
E7FAW3	('T79550001721', 606)
E7FB98	('T79550002920', 607)
E7FCP8	('T79550001708', 608)
E7FDB3	('T79550001709', 609)
E7FEC4	('T79550002618', 610)
E9P886	('T62390003237', 611)
E9PJI5	('T96060011440', 612)
E9PKD4	('T96060011439', 613)
E9PSK7	('T101160003522', 614)
E9PUL5	('T100900011504', 615)
E9PV24	('T100900005118', 616)
E9PV87	('T100900014609', 617)
E9PYH6	('T100900013331', 618)
E9PYK3	('T100900010564', 619)
E9PZ19	('T100900015838', 620)
E9PZM4	('T100900002548', 621)
E9PZQ0	('T100900012806', 622)
E9Q0C6	('T100900007253', 623)
E9Q0N2	('T100900011679', 624)
E9Q2Z1	('T100900002395', 625)
E9Q309	('T100900002378', 626)
E9Q3T6	('T100900011408', 627)
E9Q401	('T100900012807', 628)
E9Q4F7	('T100900000717', 629)
E9Q4N7	('T100900000934', 630)
E9Q5C9	('T100900009815', 631)
E9Q5F9	('T100900013336', 632)
E9Q5G3	('T100900007549', 633)
E9Q5K9	('T100900016635', 634)
E9Q5L8	('T100900005728', 635)
E9Q5Z5	('T100900004931', 636)
E9Q612	('T100900011684', 637)
E9Q649	('T100900005537', 638)
E9Q6B2	('T100900002057', 639)
E9Q6I0	('T100900016216', 640)
E9Q735	('T100900015981', 641)
E9Q784	('T100900016699', 642)
E9Q793	('T100900007214', 643)
E9Q7D5	('T100900000917', 644)
E9Q7R9	('T100900002487', 645)
E9Q7X7	('T100900009954', 646)
E9Q8Q8	('T100900013035', 647)
E9Q956	('T100900008606', 648)
E9Q9D5	('T100900011962', 649)
E9Q9K5	('T100900015563', 650)
E9Q9R9	('T100900003927', 651)
E9Q9W7	('T100900010743', 652)
E9QAT4	('T100900013110', 653)
E9QHE3	('T79550002247', 654)
E9QJ30	('T79550001326', 655)
E9QJ73	('T79550000597', 656)
F1LN46	('T101160001620', 657)
F1LP90	('T101160004273', 658)
F1LQ70	('T101160003943', 659)
F1LSG8	('T101160007859', 660)
F1LVW7	('T101160001972', 661)
F1LXF1	('T101160000756', 662)
F1M0Z1	('T101160007520', 663)
F1M386	('T101160006156', 664)
F1M391	('T101160006894', 665)
F1M3G7	('T101160000326', 666)
F1M3L7	('T101160002304', 667)
F1M625	('T101160007679', 668)
F1M707	('T101160004577', 669)
F1M775	('T101160001971', 670)
F1MAD2	('T101160003425', 671)
F1Q506	('T79550002525', 672)
F1Q8C3	('T79550000523', 673)
F1Q8J0	('T79550002254', 674)
F1Q8R9	('T79550002033', 675)
F1Q8X5	('T79550000906', 676)
F1Q930	('T79550002657', 677)
F1QBY1	('T79550001768', 678)
F1QC45	('T79550003052', 679)
F1QCV2	('T79550001085', 680)
F1QEG2	('T79550001328', 681)
F1QGZ6	('T79550001537', 682)
F1QJX5	('T79550002933', 683)
F1QMB9	('T79550000351', 684)
F1QN48	('T79550000880', 685)
F1QNW4	('T79550000719', 686)
F1QQI2	('T79550002574', 687)
F1QR43	('T79550001004', 688)
F1QR98	('T79550001237', 689)
F1QUP1	('T79550002275', 690)
F1QYJ6	('T79550002589', 691)
F1QZE9	('T79550002809', 692)
F1R2J1	('T79550002024', 693)
F1R345	('T79550000641', 694)
F1R4C4	('T79550001991', 695)
F1R777	('T79550001644', 696)
F1R8Z9	('T79550000955', 697)
F1RAX4	('T79550002610', 698)
F1RCP1	('T79550000220', 699)
F1RD40	('T79550001677', 700)
F1RDM5	('T79550000082', 701)
F1REV3	('T79550001343', 702)
F2Z461	('T100900006312', 703)
F3Y5P4	('T62390001178', 704)
F4HNU6	('T37020009068', 705)
F4HNU8	('T37020009253', 706)
F4HP88	('T37020013014', 707)
F4HPZ9	('T37020007585', 708)
F4HQA1	('T37020009566', 709)
F4HQD4	('T37020006797', 710)
F4HQM3	('T37020008774', 711)
F4HRC1	('T37020014041', 712)
F4HRJ4	('T37020007898', 713)
F4HT21	('T37020006869', 714)
F4HTM3	('T37020005805', 715)
F4HTT6	('T37020002959', 716)
F4HU58	('T37020013774', 717)
F4HUK6	('T37020000095', 718)
F4HVG8	('T37020003166', 719)
F4HVJ3	('T37020010387', 720)
F4HVS0	('T37020001867', 721)
F4HVW5	('T37020014779', 722)
F4HVY0	('T37020002465', 723)
F4HW04	('T37020003991', 724)
F4HW79	('T37020002866', 725)
F4HX15	('T37020007665', 726)
F4HX80	('T37020000755', 727)
F4HXP9	('T37020008625', 728)
F4HXV6	('T37020009130', 729)
F4HYD7	('T37020011632', 730)
F4HYF3	('T37020003438', 731)
F4HYR6	('T37020012721', 732)
F4HYV5	('T37020008656', 733)
F4HZB5	('T37020008868', 734)
F4HZG9	('T37020006886', 735)
F4I096	('T37020008149', 736)
F4I0K2	('T37020012800', 737)
F4I171	('T37020008101', 738)
F4I1G5	('T37020003011', 739)
F4I1H5	('T37020012694', 740)
F4I1S7	('T37020004362', 741)
F4I1T9	('T37020007330', 742)
F4I274	('T37020009983', 743)
F4I2H7	('T37020014282', 744)
F4I2J8	('T37020002237', 745)
F4I2S4	('T37020002362', 746)
F4I316	('T37020013610', 747)
F4I340	('T37020012972', 748)
F4I3M3	('T37020001850', 749)
F4I3P9	('T37020008512', 750)
F4I3Z5	('T37020013129', 751)
F4I443	('T37020001454', 752)
F4I460	('T37020008624', 753)
F4I4E1	('T37020001728', 754)
F4I4K7	('T37020005582', 755)
F4I4P3	('T37020008155', 756)
F4I5D5	('T37020015130', 757)
F4I5N6	('T37020011973', 758)
F4I5Q6	('T37020008623', 759)
F4I6M1	('T37020010394', 760)
F4I700	('T37020014601', 761)
F4I7I0	('T37020000682', 762)
F4I893	('T37020006968', 763)
F4I8S3	('T37020002751', 764)
F4I902	('T37020002550', 765)
F4I907	('T37020006129', 766)
F4I9E1	('T37020008879', 767)
F4I9J7	('T37020015333', 768)
F4I9T0	('T37020001527', 769)
F4IA73	('T37020006326', 770)
F4IAG2	('T37020013486', 771)
F4IAT8	('T37020007686', 772)
F4IB81	('T37020007830', 773)
F4ICB6	('T37020006875', 774)
